district,province,census_year,census_period,is_remote,total_population,literate_population,avg_literacy_rate,total_enrolled,total_never_enrolled,total_dropout,avg_enrollment_rate,avg_dropout_rate,local_level_count,total_schools,total_teachers,avg_trained_teachers_pct,total_students,avg_student_teacher_ratio,avg_electricity_pct,avg_toilet_pct,avg_water_pct,avg_infrastructure_score
Arghakhanchi,Lumbini,2021,Post-Federal (2021),0,5990.0,3526.0,59.04,1995.0,1289.0,253.0,34.84,12.21,2,1.0,14.0,89.3,184.0,13.1,60.4,33.4,31.7,41.83
Arghakhanchi,Lumbini,2021,Post-Federal (2021),0,5990.0,3526.0,59.04,1995.0,1289.0,253.0,34.84,12.21,2,77.0,471.0,73.9,13340.0,28.3,21.6,65.2,14.4,33.73
Arghakhanchi,Lumbini,2021,Post-Federal (2021),0,5990.0,3526.0,59.04,1995.0,1289.0,253.0,34.84,12.21,2,127.5,791.0,72.0,19384.0,24.07,68.53,44.77,37.05,50.12
Arghakhanchi,Lumbini,2001,Pre-Federal (2001),0,48601.0,22358.0,46.64,16934.0,7828.0,1568.0,33.97,10.3,6,170.0,1268.0,68.84,41411.0,28.38,64.64,51.88,45.82,54.11
Arghakhanchi,Lumbini,2011,Transitional (2011),0,56538.0,25147.0,44.43,19809.0,9690.0,2522.0,37.68,13.11,6,155.0,1327.0,73.36,43288.0,38.04,50.14,42.82,28.48,40.48
Arghakhanchi,Lumbini,2021,Post-Federal (2021),0,28767.0,13634.0,53.32,8003.0,3213.0,1161.0,27.86,14.34,4,1.0,14.0,89.3,184.0,13.1,60.4,33.4,31.7,41.83
Arghakhanchi,Lumbini,2021,Post-Federal (2021),0,28767.0,13634.0,53.32,8003.0,3213.0,1161.0,27.86,14.34,4,77.0,471.0,73.9,13340.0,28.3,21.6,65.2,14.4,33.73
Arghakhanchi,Lumbini,2021,Post-Federal (2021),0,28767.0,13634.0,53.32,8003.0,3213.0,1161.0,27.86,14.34,4,127.5,791.0,72.0,19384.0,24.07,68.53,44.77,37.05,50.12
Arghakhanchi,Lumbini,2021,Post-Federal (2021),0,12967.0,5810.0,41.44,3658.0,2563.0,306.0,29.54,9.3,2,1.0,14.0,89.3,184.0,13.1,60.4,33.4,31.7,41.83
Arghakhanchi,Lumbini,2021,Post-Federal (2021),0,12967.0,5810.0,41.44,3658.0,2563.0,306.0,29.54,9.3,2,77.0,471.0,73.9,13340.0,28.3,21.6,65.2,14.4,33.73
Arghakhanchi,Lumbini,2021,Post-Federal (2021),0,12967.0,5810.0,41.44,3658.0,2563.0,306.0,29.54,9.3,2,127.5,791.0,72.0,19384.0,24.07,68.53,44.77,37.05,50.12
Arghakhanchi,Lumbini,2021,Post-Federal (2021),0,15708.0,9476.0,61.11,5576.0,2003.0,662.0,35.92,11.82,2,1.0,14.0,89.3,184.0,13.1,60.4,33.4,31.7,41.83
Arghakhanchi,Lumbini,2021,Post-Federal (2021),0,15708.0,9476.0,61.11,5576.0,2003.0,662.0,35.92,11.82,2,77.0,471.0,73.9,13340.0,28.3,21.6,65.2,14.4,33.73
Arghakhanchi,Lumbini,2021,Post-Federal (2021),0,15708.0,9476.0,61.11,5576.0,2003.0,662.0,35.92,11.82,2,127.5,791.0,72.0,19384.0,24.07,68.53,44.77,37.05,50.12
Arghakhanchi,Lumbini,2021,Post-Federal (2021),0,9074.0,4664.0,51.41,2097.0,709.0,217.0,23.11,10.35,1,1.0,14.0,89.3,184.0,13.1,60.4,33.4,31.7,41.83
Arghakhanchi,Lumbini,2021,Post-Federal (2021),0,9074.0,4664.0,51.41,2097.0,709.0,217.0,23.11,10.35,1,77.0,471.0,73.9,13340.0,28.3,21.6,65.2,14.4,33.73
Arghakhanchi,Lumbini,2021,Post-Federal (2021),0,9074.0,4664.0,51.41,2097.0,709.0,217.0,23.11,10.35,1,127.5,791.0,72.0,19384.0,24.07,68.53,44.77,37.05,50.12
Baglung,Gandaki,2001,Pre-Federal (2001),0,218146.0,151282.0,66.18,72333.0,11690.0,9464.0,33.95,13.18,9,127.5,1085.0,71.88,43906.0,44.2,74.58,67.62,46.2,62.8
Baglung,Gandaki,2011,Transitional (2011),0,266105.0,208429.0,77.85,98266.0,13617.0,7844.0,36.37,8.68,9,251.0,1990.0,70.6,53482.0,23.4,56.48,76.6,81.74,71.61
Baglung,Gandaki,2021,Post-Federal (2021),0,60645.0,49501.0,83.31,26269.0,3136.0,2264.0,43.48,7.97,4,37.0,504.0,63.0,13825.0,27.4,94.2,89.45,94.2,92.62
Baglung,Gandaki,2021,Post-Federal (2021),0,60645.0,49501.0,83.31,26269.0,3136.0,2264.0,43.48,7.97,4,31.0,95.0,87.5,2735.0,28.8,35.2,95.6,71.6,67.47
Baglung,Gandaki,2021,Post-Federal (2021),0,60645.0,49501.0,83.31,26269.0,3136.0,2264.0,43.48,7.97,4,123.0,791.0,57.1,16211.0,30.35,75.6,90.2,92.35,86.05
Baglung,Gandaki,2021,Post-Federal (2021),0,60645.0,49501.0,83.31,26269.0,3136.0,2264.0,43.48,7.97,4,34.0,123.0,51.7,1009.0,8.2,75.6,70.8,47.2,64.53
Baglung,Gandaki,2021,Post-Federal (2021),0,30473.0,27053.0,88.78,9388.0,730.0,719.0,30.81,7.66,1,37.0,504.0,63.0,13825.0,27.4,94.2,89.45,94.2,92.62
Baglung,Gandaki,2021,Post-Federal (2021),0,30473.0,27053.0,88.78,9388.0,730.0,719.0,30.81,7.66,1,31.0,95.0,87.5,2735.0,28.8,35.2,95.6,71.6,67.47
Baglung,Gandaki,2021,Post-Federal (2021),0,30473.0,27053.0,88.78,9388.0,730.0,719.0,30.81,7.66,1,123.0,791.0,57.1,16211.0,30.35,75.6,90.2,92.35,86.05
Baglung,Gandaki,2021,Post-Federal (2021),0,30473.0,27053.0,88.78,9388.0,730.0,719.0,30.81,7.66,1,34.0,123.0,51.7,1009.0,8.2,75.6,70.8,47.2,64.53
Baglung,Gandaki,2021,Post-Federal (2021),0,115011.0,109718.0,89.29,42424.0,8602.0,4491.0,37.84,10.66,4,37.0,504.0,63.0,13825.0,27.4,94.2,89.45,94.2,92.62
Baglung,Gandaki,2021,Post-Federal (2021),0,115011.0,109718.0,89.29,42424.0,8602.0,4491.0,37.84,10.66,4,31.0,95.0,87.5,2735.0,28.8,35.2,95.6,71.6,67.47
Baglung,Gandaki,2021,Post-Federal (2021),0,115011.0,109718.0,89.29,42424.0,8602.0,4491.0,37.84,10.66,4,123.0,791.0,57.1,16211.0,30.35,75.6,90.2,92.35,86.05
Baglung,Gandaki,2021,Post-Federal (2021),0,115011.0,109718.0,89.29,42424.0,8602.0,4491.0,37.84,10.66,4,34.0,123.0,51.7,1009.0,8.2,75.6,70.8,47.2,64.53
Baglung,Gandaki,2021,Post-Federal (2021),0,84577.0,68390.0,80.16,26968.0,5729.0,3997.0,31.58,14.34,4,37.0,504.0,63.0,13825.0,27.4,94.2,89.45,94.2,92.62
Baglung,Gandaki,2021,Post-Federal (2021),0,84577.0,68390.0,80.16,26968.0,5729.0,3997.0,31.58,14.34,4,31.0,95.0,87.5,2735.0,28.8,35.2,95.6,71.6,67.47
Baglung,Gandaki,2021,Post-Federal (2021),0,84577.0,68390.0,80.16,26968.0,5729.0,3997.0,31.58,14.34,4,123.0,791.0,57.1,16211.0,30.35,75.6,90.2,92.35,86.05
Baglung,Gandaki,2021,Post-Federal (2021),0,84577.0,68390.0,80.16,26968.0,5729.0,3997.0,31.58,14.34,4,34.0,123.0,51.7,1009.0,8.2,75.6,70.8,47.2,64.53
Baglung,Gandaki,2021,Post-Federal (2021),0,52766.0,49919.0,94.91,16885.0,2392.0,1611.0,33.23,9.62,2,37.0,504.0,63.0,13825.0,27.4,94.2,89.45,94.2,92.62
Baglung,Gandaki,2021,Post-Federal (2021),0,52766.0,49919.0,94.91,16885.0,2392.0,1611.0,33.23,9.62,2,31.0,95.0,87.5,2735.0,28.8,35.2,95.6,71.6,67.47
Baglung,Gandaki,2021,Post-Federal (2021),0,52766.0,49919.0,94.91,16885.0,2392.0,1611.0,33.23,9.62,2,123.0,791.0,57.1,16211.0,30.35,75.6,90.2,92.35,86.05
Baglung,Gandaki,2021,Post-Federal (2021),0,52766.0,49919.0,94.91,16885.0,2392.0,1611.0,33.23,9.62,2,34.0,123.0,51.7,1009.0,8.2,75.6,70.8,47.2,64.53
Baitadi,Sudur Paschim,2021,Post-Federal (2021),0,9296.0,5322.0,61.7,2838.0,2483.0,293.0,33.32,7.46,2,1.0,3.0,36.6,129.0,43.0,39.9,58.2,36.2,44.77
Baitadi,Sudur Paschim,2021,Post-Federal (2021),0,9296.0,5322.0,61.7,2838.0,2483.0,293.0,33.32,7.46,2,8.0,97.0,57.4,1127.0,11.6,21.3,76.6,50.3,49.4
Baitadi,Sudur Paschim,2021,Post-Federal (2021),0,9296.0,5322.0,61.7,2838.0,2483.0,293.0,33.32,7.46,2,17.0,132.0,36.35,3039.0,22.95,28.25,41.45,68.05,45.92
Baitadi,Sudur Paschim,2021,Post-Federal (2021),0,9296.0,5322.0,61.7,2838.0,2483.0,293.0,33.32,7.46,2,9.0,124.0,61.5,2602.0,21.0,44.5,52.3,30.3,42.37
Baitadi,Sudur Paschim,2021,Post-Federal (2021),0,20690.0,10281.0,53.31,8364.0,3253.0,1021.0,39.73,11.62,5,1.0,3.0,36.6,129.0,43.0,39.9,58.2,36.2,44.77
Baitadi,Sudur Paschim,2021,Post-Federal (2021),0,20690.0,10281.0,53.31,8364.0,3253.0,1021.0,39.73,11.62,5,8.0,97.0,57.4,1127.0,11.6,21.3,76.6,50.3,49.4
Baitadi,Sudur Paschim,2021,Post-Federal (2021),0,20690.0,10281.0,53.31,8364.0,3253.0,1021.0,39.73,11.62,5,17.0,132.0,36.35,3039.0,22.95,28.25,41.45,68.05,45.92
Baitadi,Sudur Paschim,2021,Post-Federal (2021),0,20690.0,10281.0,53.31,8364.0,3253.0,1021.0,39.73,11.62,5,9.0,124.0,61.5,2602.0,21.0,44.5,52.3,30.3,42.37
Baitadi,Sudur Paschim,2021,Post-Federal (2021),0,38355.0,21751.0,56.32,12651.0,3794.0,1021.5,35.84,8.56,6,1.0,3.0,36.6,129.0,43.0,39.9,58.2,36.2,44.77
Baitadi,Sudur Paschim,2021,Post-Federal (2021),0,38355.0,21751.0,56.32,12651.0,3794.0,1021.5,35.84,8.56,6,8.0,97.0,57.4,1127.0,11.6,21.3,76.6,50.3,49.4
Baitadi,Sudur Paschim,2021,Post-Federal (2021),0,38355.0,21751.0,56.32,12651.0,3794.0,1021.5,35.84,8.56,6,17.0,132.0,36.35,3039.0,22.95,28.25,41.45,68.05,45.92
Baitadi,Sudur Paschim,2021,Post-Federal (2021),0,38355.0,21751.0,56.32,12651.0,3794.0,1021.5,35.84,8.56,6,9.0,124.0,61.5,2602.0,21.0,44.5,52.3,30.3,42.37
Baitadi,Sudur Paschim,2001,Pre-Federal (2001),1,78339.0,30392.0,42.59,28508.0,17519.0,3171.0,35.77,10.28,9,63.0,456.0,37.82,11868.0,24.94,25.32,68.7,50.13,48.05
Baitadi,Sudur Paschim,2011,Transitional (2011),1,91385.0,44060.0,48.67,28185.0,17190.0,3145.0,32.02,10.04,9,62.0,677.5,52.4,7744.0,20.19,31.58,44.5,54.06,43.38
Baitadi,Sudur Paschim,2021,Post-Federal (2021),1,12566.0,7337.0,50.7,4678.0,2788.0,808.5,34.55,13.43,3,1.0,3.0,36.6,129.0,43.0,39.9,58.2,36.2,44.77
Baitadi,Sudur Paschim,2021,Post-Federal (2021),1,12566.0,7337.0,50.7,4678.0,2788.0,808.5,34.55,13.43,3,8.0,97.0,57.4,1127.0,11.6,21.3,76.6,50.3,49.4
Baitadi,Sudur Paschim,2021,Post-Federal (2021),1,12566.0,7337.0,50.7,4678.0,2788.0,808.5,34.55,13.43,3,17.0,132.0,36.35,3039.0,22.95,28.25,41.45,68.05,45.92
Baitadi,Sudur Paschim,2021,Post-Federal (2021),1,12566.0,7337.0,50.7,4678.0,2788.0,808.5,34.55,13.43,3,9.0,124.0,61.5,2602.0,21.0,44.5,52.3,30.3,42.37
Baitadi,Sudur Paschim,2021,Post-Federal (2021),0,10412.0,6076.0,60.2,4346.0,2741.0,390.0,36.08,13.45,2,1.0,3.0,36.6,129.0,43.0,39.9,58.2,36.2,44.77
Baitadi,Sudur Paschim,2021,Post-Federal (2021),0,10412.0,6076.0,60.2,4346.0,2741.0,390.0,36.08,13.45,2,8.0,97.0,57.4,1127.0,11.6,21.3,76.6,50.3,49.4
Baitadi,Sudur Paschim,2021,Post-Federal (2021),0,10412.0,6076.0,60.2,4346.0,2741.0,390.0,36.08,13.45,2,17.0,132.0,36.35,3039.0,22.95,28.25,41.45,68.05,45.92
Baitadi,Sudur Paschim,2021,Post-Federal (2021),0,10412.0,6076.0,60.2,4346.0,2741.0,390.0,36.08,13.45,2,9.0,124.0,61.5,2602.0,21.0,44.5,52.3,30.3,42.37
Bajhang,Sudur Paschim,2021,Post-Federal (2021),0,16458.0,6403.0,40.13,4849.0,2971.0,401.0,29.83,8.22,2,51.0,388.0,35.4,15065.0,49.15,27.9,39.15,61.0,42.68
Bajhang,Sudur Paschim,2021,Post-Federal (2021),0,16458.0,6403.0,40.13,4849.0,2971.0,401.0,29.83,8.22,2,9.0,75.0,52.85,1337.0,17.95,31.95,50.55,42.85,41.78
Bajhang,Sudur Paschim,2021,Post-Federal (2021),0,16458.0,6403.0,40.13,4849.0,2971.0,401.0,29.83,8.22,2,17.0,123.0,55.7,2767.0,22.5,40.6,66.4,37.5,48.17
Bajhang,Sudur Paschim,2021,Post-Federal (2021),0,25111.0,13524.0,54.47,8183.0,4555.0,917.0,29.97,11.6,4,51.0,388.0,35.4,15065.0,49.15,27.9,39.15,61.0,42.68
Bajhang,Sudur Paschim,2021,Post-Federal (2021),0,25111.0,13524.0,54.47,8183.0,4555.0,917.0,29.97,11.6,4,9.0,75.0,52.85,1337.0,17.95,31.95,50.55,42.85,41.78
Bajhang,Sudur Paschim,2021,Post-Federal (2021),0,25111.0,13524.0,54.47,8183.0,4555.0,917.0,29.97,11.6,4,17.0,123.0,55.7,2767.0,22.5,40.6,66.4,37.5,48.17
Bajhang,Sudur Paschim,2021,Post-Federal (2021),0,33211.0,18315.0,55.54,12662.0,5225.0,1047.0,36.68,8.46,4,51.0,388.0,35.4,15065.0,49.15,27.9,39.15,61.0,42.68
Bajhang,Sudur Paschim,2021,Post-Federal (2021),0,33211.0,18315.0,55.54,12662.0,5225.0,1047.0,36.68,8.46,4,9.0,75.0,52.85,1337.0,17.95,31.95,50.55,42.85,41.78
Bajhang,Sudur Paschim,2021,Post-Federal (2021),0,33211.0,18315.0,55.54,12662.0,5225.0,1047.0,36.68,8.46,4,17.0,123.0,55.7,2767.0,22.5,40.6,66.4,37.5,48.17
Bajhang,Sudur Paschim,2001,Pre-Federal (2001),1,82752.0,37030.0,40.15,27911.0,13478.0,2659.0,33.98,10.01,10,39.0,442.0,42.48,10957.0,24.16,34.55,58.18,52.18,48.3
Bajhang,Sudur Paschim,2011,Transitional (2011),1,88639.0,42278.0,49.76,29122.0,13995.0,3347.0,34.84,11.2,10,40.0,354.0,45.42,9027.0,44.28,34.69,49.0,45.88,43.19
Bajhang,Sudur Paschim,2021,Post-Federal (2021),1,13329.0,8158.0,61.18,4754.0,2260.0,834.0,35.36,16.8,2,51.0,388.0,35.4,15065.0,49.15,27.9,39.15,61.0,42.68
Bajhang,Sudur Paschim,2021,Post-Federal (2021),1,13329.0,8158.0,61.18,4754.0,2260.0,834.0,35.36,16.8,2,9.0,75.0,52.85,1337.0,17.95,31.95,50.55,42.85,41.78
Bajhang,Sudur Paschim,2021,Post-Federal (2021),1,13329.0,8158.0,61.18,4754.0,2260.0,834.0,35.36,16.8,2,17.0,123.0,55.7,2767.0,22.5,40.6,66.4,37.5,48.17
Bajhang,Sudur Paschim,2021,Post-Federal (2021),0,44491.0,26427.0,60.92,14619.0,6926.0,1255.0,32.72,10.08,6,51.0,388.0,35.4,15065.0,49.15,27.9,39.15,61.0,42.68
Bajhang,Sudur Paschim,2021,Post-Federal (2021),0,44491.0,26427.0,60.92,14619.0,6926.0,1255.0,32.72,10.08,6,9.0,75.0,52.85,1337.0,17.95,31.95,50.55,42.85,41.78
Bajhang,Sudur Paschim,2021,Post-Federal (2021),0,44491.0,26427.0,60.92,14619.0,6926.0,1255.0,32.72,10.08,6,17.0,123.0,55.7,2767.0,22.5,40.6,66.4,37.5,48.17
Bajura,Sudur Paschim,2021,Post-Federal (2021),0,7321.0,4547.0,42.58,4061.0,1184.0,677.5,60.37,13.34,2,10.0,96.0,25.0,2075.0,21.6,39.4,20.8,26.0,28.73
Bajura,Sudur Paschim,2021,Post-Federal (2021),0,7321.0,4547.0,42.58,4061.0,1184.0,677.5,60.37,13.34,2,31.0,257.0,43.77,5437.0,33.17,31.83,48.5,32.9,37.74
Bajura,Sudur Paschim,2021,Post-Federal (2021),0,7321.0,4547.0,42.58,4061.0,1184.0,677.5,60.37,13.34,2,9.0,71.0,26.5,3196.0,45.0,28.9,76.4,17.0,40.77
Bajura,Sudur Paschim,2021,Post-Federal (2021),0,3703.0,1468.0,45.89,2343.0,440.0,83.5,61.5,3.18,3,10.0,96.0,25.0,2075.0,21.6,39.4,20.8,26.0,28.73
Bajura,Sudur Paschim,2021,Post-Federal (2021),0,3703.0,1468.0,45.89,2343.0,440.0,83.5,61.5,3.18,3,31.0,257.0,43.77,5437.0,33.17,31.83,48.5,32.9,37.74
Bajura,Sudur Paschim,2021,Post-Federal (2021),0,3703.0,1468.0,45.89,2343.0,440.0,83.5,61.5,3.18,3,9.0,71.0,26.5,3196.0,45.0,28.9,76.4,17.0,40.77
Bajura,Sudur Paschim,2021,Post-Federal (2021),0,9260.0,4643.0,51.2,3271.0,1318.0,296.0,33.64,9.95,5,10.0,96.0,25.0,2075.0,21.6,39.4,20.8,26.0,28.73
Bajura,Sudur Paschim,2021,Post-Federal (2021),0,9260.0,4643.0,51.2,3271.0,1318.0,296.0,33.64,9.95,5,31.0,257.0,43.77,5437.0,33.17,31.83,48.5,32.9,37.74
Bajura,Sudur Paschim,2021,Post-Federal (2021),0,9260.0,4643.0,51.2,3271.0,1318.0,296.0,33.64,9.95,5,9.0,71.0,26.5,3196.0,45.0,28.9,76.4,17.0,40.77
Bajura,Sudur Paschim,2001,Pre-Federal (2001),1,43643.0,18877.0,41.99,15083.0,7536.0,1549.0,36.04,13.57,9,56.0,446.5,51.62,15367.0,30.24,18.05,52.1,52.12,40.75
Bajura,Sudur Paschim,2011,Transitional (2011),1,84474.0,43856.0,50.83,29968.0,19756.0,3832.0,36.7,12.07,9,58.0,275.0,53.16,14467.0,62.76,25.4,33.59,53.66,37.55
Bajura,Sudur Paschim,2021,Post-Federal (2021),1,4634.0,2263.0,53.45,1078.0,644.0,181.0,31.27,16.11,2,10.0,96.0,25.0,2075.0,21.6,39.4,20.8,26.0,28.73
Bajura,Sudur Paschim,2021,Post-Federal (2021),1,4634.0,2263.0,53.45,1078.0,644.0,181.0,31.27,16.11,2,31.0,257.0,43.77,5437.0,33.17,31.83,48.5,32.9,37.74
Bajura,Sudur Paschim,2021,Post-Federal (2021),1,4634.0,2263.0,53.45,1078.0,644.0,181.0,31.27,16.11,2,9.0,71.0,26.5,3196.0,45.0,28.9,76.4,17.0,40.77
Bajura,Sudur Paschim,2021,Post-Federal (2021),0,22305.0,12327.0,52.25,7633.0,1684.0,897.0,34.82,12.29,4,10.0,96.0,25.0,2075.0,21.6,39.4,20.8,26.0,28.73
Bajura,Sudur Paschim,2021,Post-Federal (2021),0,22305.0,12327.0,52.25,7633.0,1684.0,897.0,34.82,12.29,4,31.0,257.0,43.77,5437.0,33.17,31.83,48.5,32.9,37.74
Bajura,Sudur Paschim,2021,Post-Federal (2021),0,22305.0,12327.0,52.25,7633.0,1684.0,897.0,34.82,12.29,4,9.0,71.0,26.5,3196.0,45.0,28.9,76.4,17.0,40.77
Banke,Lumbini,2021,Post-Federal (2021),0,11004.0,6441.0,57.72,2966.0,1473.0,333.0,26.88,11.92,2,66.0,251.0,59.0,6040.0,24.1,37.2,41.25,32.7,37.05
Banke,Lumbini,2021,Post-Federal (2021),0,11004.0,6441.0,57.72,2966.0,1473.0,333.0,26.88,11.92,2,101.0,374.5,70.37,15002.0,48.53,52.7,35.8,48.47,45.66
Banke,Lumbini,2021,Post-Federal (2021),0,11004.0,6441.0,57.72,2966.0,1473.0,333.0,26.88,11.92,2,128.0,999.0,52.8,27293.0,27.3,79.2,60.1,45.6,61.63
Banke,Lumbini,2001,Pre-Federal (2001),0,62966.0,25958.0,42.33,23452.0,10003.0,2977.0,35.9,14.55,7,134.0,1243.0,78.44,21867.0,20.72,44.96,50.74,55.84,50.51
Banke,Lumbini,2011,Transitional (2011),0,66450.0,34501.0,51.97,19804.0,12556.0,2216.0,29.8,14.03,7,142.0,1176.0,70.3,23336.0,20.84,57.36,46.98,46.22,50.19
Banke,Lumbini,2021,Post-Federal (2021),0,28824.0,17386.0,57.38,8011.0,4528.0,1180.0,28.9,15.12,3,66.0,251.0,59.0,6040.0,24.1,37.2,41.25,32.7,37.05
Banke,Lumbini,2021,Post-Federal (2021),0,28824.0,17386.0,57.38,8011.0,4528.0,1180.0,28.9,15.12,3,101.0,374.5,70.37,15002.0,48.53,52.7,35.8,48.47,45.66
Banke,Lumbini,2021,Post-Federal (2021),0,28824.0,17386.0,57.38,8011.0,4528.0,1180.0,28.9,15.12,3,128.0,999.0,52.8,27293.0,27.3,79.2,60.1,45.6,61.63
Banke,Lumbini,2021,Post-Federal (2021),0,8398.0,5055.0,60.9,2773.0,2214.0,267.0,33.66,9.64,2,66.0,251.0,59.0,6040.0,24.1,37.2,41.25,32.7,37.05
Banke,Lumbini,2021,Post-Federal (2021),0,8398.0,5055.0,60.9,2773.0,2214.0,267.0,33.66,9.64,2,101.0,374.5,70.37,15002.0,48.53,52.7,35.8,48.47,45.66
Banke,Lumbini,2021,Post-Federal (2021),0,8398.0,5055.0,60.9,2773.0,2214.0,267.0,33.66,9.64,2,128.0,999.0,52.8,27293.0,27.3,79.2,60.1,45.6,61.63
Banke,Lumbini,2021,Post-Federal (2021),0,7281.0,5267.0,72.35,1953.0,969.0,198.0,26.82,10.14,1,66.0,251.0,59.0,6040.0,24.1,37.2,41.25,32.7,37.05
Banke,Lumbini,2021,Post-Federal (2021),0,7281.0,5267.0,72.35,1953.0,969.0,198.0,26.82,10.14,1,101.0,374.5,70.37,15002.0,48.53,52.7,35.8,48.47,45.66
Banke,Lumbini,2021,Post-Federal (2021),0,7281.0,5267.0,72.35,1953.0,969.0,198.0,26.82,10.14,1,128.0,999.0,52.8,27293.0,27.3,79.2,60.1,45.6,61.63
Banke,Lumbini,2021,Post-Federal (2021),0,33359.0,20317.0,62.1,8735.0,5440.0,728.0,27.74,8.16,4,66.0,251.0,59.0,6040.0,24.1,37.2,41.25,32.7,37.05
Banke,Lumbini,2021,Post-Federal (2021),0,33359.0,20317.0,62.1,8735.0,5440.0,728.0,27.74,8.16,4,101.0,374.5,70.37,15002.0,48.53,52.7,35.8,48.47,45.66
Banke,Lumbini,2021,Post-Federal (2021),0,33359.0,20317.0,62.1,8735.0,5440.0,728.0,27.74,8.16,4,128.0,999.0,52.8,27293.0,27.3,79.2,60.1,45.6,61.63
Bara,Madhesh,2021,Post-Federal (2021),0,33676.0,17412.0,51.92,10342.5,5592.0,879.0,31.95,13.29,6,4.0,53.0,50.9,1430.0,27.0,68.7,30.0,34.7,44.47
Bara,Madhesh,2021,Post-Federal (2021),0,33676.0,17412.0,51.92,10342.5,5592.0,879.0,31.95,13.29,6,45.0,616.0,75.22,14535.0,21.3,84.75,32.55,40.85,52.72
Bara,Madhesh,2021,Post-Federal (2021),0,33676.0,17412.0,51.92,10342.5,5592.0,879.0,31.95,13.29,6,230.0,1094.0,70.35,56932.0,53.0,73.3,26.85,41.35,47.17
